Introduction and Building the Design Template,index.php ,style.css ,template_pageTop.php ,template_pageBottom.php ,
Database Creation and PHP MySQLi Connection Script Tutorial,,,,,
MySQL Database Tables Creation Script Logic,,,,,
Establish htaccess and phpini for apache web site server configuration,,,,,
Create the Main JavaScript Module and Insert Other Modules Tutorial,,,,,
Sign Up Form and Email Activation PHP MySQL JavaScript Programming Tutorial,signup.php ,activation.php ,message.php ,randStrGen.php ,
Log In Form Log Out Script Cookies Sessions User Profile,login.php ,logout.php ,,user.php ,check_login_status.php 
Cron Job Automate Social Network Web Site Maintenance Tutorial,once_daily.php ,,,,
Forgot Account Password Form Email Script Ajax Tutorial,file not named,,,,
Friend Add Block System Ajax Tutorial,,friend_system.php ,block_system.php ,user.php ,
Social Network Header Logic Dynamic Links Example Script,file not named,,,,
Friend Lists and Social Network Notifications Tutorial,friend_system.php ,,notifications.php ,user.php ,
User Profile Photo File Upload HTML Form PHP Parse Script MySQL,main.js,image_resize.php ,photo_system.php ,user.php ,
Photo Gallery CMS Tutorial,photos.php ,,photo_system.php ,user.php ,
Conversation System Social Network Ajax PHP MySQL Tutorial,status_system.php ,template_status.php ,,user.php ,
Send SMS Text Messages to Mobile Phone PHP Tutorial,,,,,
